step,total_halting_vehicles,total_waiting_time_step,ns_queue,ew_queue,ns_avg_wait_current,ew_avg_wait_current
0,0,0.00,0,0,0.00,0.00
1,0,0.00,0,0,0.00,0.00
2,0,0.00,0,0,0.00,0.00
3,0,0.00,0,0,0.00,0.00
4,0,0.00,0,0,0.00,0.00
5,0,0.00,0,0,0.00,0.00
6,0,0.00,0,0,0.00,0.00
7,0,0.00,0,0,0.00,0.00
8,0,0.00,0,0,0.00,0.00
9,0,0.00,0,0,0.00,0.00
10,1,1.00,1,0,0.17,0.00
11,1,2.00,1,0,0.33,0.00
12,3,5.00,3,0,0.83,0.00
13,4,9.00,4,0,1.50,0.00
14,5,14.00,5,0,2.33,0.00
15,6,20.00,6,0,3.33,0.00
16,5,24.00,5,0,4.00,0.00
17,5,29.00,5,0,4.83,0.00
18,5,34.00,5,0,5.67,0.00
19,6,40.00,6,0,6.67,0.00
20,6,46.00,6,0,7.67,0.00
21,6,52.00,6,0,8.67,0.00
22,6,58.00,6,0,9.67,0.00
23,6,64.00,6,0,10.67,0.00
24,6,70.00,6,0,11.67,0.00
25,0,0.00,0,0,0.00,0.00
26,0,0.00,0,0,0.00,0.00
27,0,0.00,0,0,0.00,0.00
28,0,0.00,0,0,0.00,0.00
29,0,0.00,0,0,0.00,0.00
30,0,0.00,0,0,0.00,0.00
31,0,0.00,0,0,0.00,0.00
32,0,0.00,0,0,0.00,0.00
33,0,0.00,0,0,0.00,0.00
34,0,0.00,0,0,0.00,0.00
35,0,0.00,0,0,0.00,0.00
36,0,0.00,0,0,0.00,0.00
37,0,0.00,0,0,0.00,0.00
38,0,0.00,0,0,0.00,0.00
39,0,0.00,0,0,0.00,0.00
40,0,0.00,0,0,0.00,0.00
41,0,0.00,0,0,0.00,0.00
42,0,0.00,0,0,0.00,0.00
43,0,0.00,0,0,0.00,0.00
44,0,0.00,0,0,0.00,0.00
45,0,0.00,0,0,0.00,0.00
46,0,0.00,0,0,0.00,0.00
47,0,0.00,0,0,0.00,0.00
48,3,3.00,1,2,0.50,0.33
49,5,8.00,1,4,1.00,1.00
50,2,4.00,2,0,2.00,0.00
51,2,6.00,2,0,3.00,0.00
52,2,8.00,2,0,4.00,0.00
53,2,10.00,2,0,5.00,0.00
54,2,12.00,2,0,6.00,0.00
55,2,14.00,2,0,7.00,0.00
56,2,16.00,2,0,8.00,0.00
57,2,18.00,2,0,9.00,0.00
58,2,20.00,2,0,10.00,0.00
59,2,22.00,2,0,11.00,0.00
60,2,24.00,2,0,12.00,0.00
61,2,26.00,2,0,13.00,0.00
62,2,28.00,2,0,14.00,0.00
63,2,30.00,2,0,15.00,0.00
64,2,32.00,2,0,16.00,0.00
65,2,34.00,2,0,17.00,0.00
66,2,36.00,2,0,18.00,0.00
67,2,38.00,2,0,19.00,0.00
68,2,40.00,2,0,20.00,0.00
69,2,42.00,2,0,21.00,0.00
70,2,44.00,2,0,22.00,0.00
71,2,46.00,2,0,6.57,0.00
72,2,48.00,2,0,6.00,0.00
73,2,50.00,2,0,6.25,0.00
74,2,52.00,2,0,6.50,0.00
75,0,0.00,0,0,0.00,0.00
76,0,0.00,0,0,0.00,0.00
77,0,0.00,0,0,0.00,0.00
78,0,0.00,0,0,0.00,0.00
79,0,0.00,0,0,0.00,0.00
80,0,0.00,0,0,0.00,0.00
81,0,0.00,0,0,0.00,0.00
82,1,1.00,0,1,0.00,0.17
83,2,3.00,0,2,0.00,0.50
84,3,6.00,0,3,0.00,1.00
85,4,10.00,0,4,0.00,1.67
86,6,16.00,0,6,0.00,2.67
87,6,22.00,0,6,0.00,3.67
88,6,28.00,0,6,0.00,4.67
89,6,34.00,0,6,0.00,5.67
90,6,40.00,0,6,0.00,6.67
91,6,46.00,0,6,0.00,7.67
92,6,52.00,0,6,0.00,8.67
93,6,58.00,0,6,0.00,9.67
94,6,64.00,0,6,0.00,10.67
95,6,70.00,0,6,0.00,11.67
96,6,76.00,0,6,0.00,12.67
97,6,82.00,0,6,0.00,13.67
98,6,88.00,0,6,0.00,14.67
99,6,94.00,0,6,0.00,15.67
100,6,100.00,0,6,0.00,16.67
101,6,106.00,0,6,0.00,17.67
102,6,112.00,0,6,0.00,18.67
103,6,118.00,0,6,0.00,19.67
104,6,124.00,0,6,0.00,20.67
105,6,130.00,0,6,0.00,21.67
106,0,0.00,0,0,0.00,0.00
107,0,0.00,0,0,0.00,0.00
108,0,0.00,0,0,0.00,0.00
109,0,0.00,0,0,0.00,0.00
110,0,0.00,0,0,0.00,0.00
111,0,0.00,0,0,0.00,0.00
112,0,0.00,0,0,0.00,0.00
113,0,0.00,0,0,0.00,0.00
114,0,0.00,0,0,0.00,0.00
115,0,0.00,0,0,0.00,0.00
116,0,0.00,0,0,0.00,0.00
117,0,0.00,0,0,0.00,0.00
118,1,1.00,1,0,0.17,0.00
119,2,3.00,2,0,0.50,0.00
120,4,7.00,4,0,1.17,0.00
121,5,12.00,5,0,2.00,0.00
122,6,18.00,6,0,3.00,0.00
